<img src=""><br>állat,<img src=""><br>animal
<img src=""><br>izzad,<img src=""><br>sweat
<img src=""><br>aerobic,<img src=""><br>aerobics
<img src=""><br>kantin,<img src=""><br>canteen
<img src=""><br>kórus,<img src=""><br>choir
<img src=""><br>klub,<img src=""><br>club
<img src=""><br>fogyasztó,<img src=""><br>consumer
<img src=""><br>krikett,<img src=""><br>cricket
<img src=""><br>tánc,<img src=""><br>dancing
<img src=""><br>eszköz,<img src=""><br>device
<img src=""><br>dráma,<img src=""><br>drama
<img src=""><br>játékkonzol,<img src=""><br>games console
<img src=""><br>ebédidő,<img src=""><br>lunch hour
<img src=""><br>zenekar,<img src=""><br>orchestra
<img src=""><br>állami iskola,<img src=""><br>state school
<img src=""><br>tabletta,<img src=""><br>tablet
<img src=""><br>tizenéves,<img src=""><br>teenager
<img src=""><br>tipikus,<img src=""><br>typical
<img src=""><br>Amerikai foci,<img src=""><br>American football
<img src=""><br>közönség,<img src=""><br>audience
<img src=""><br>üt,<img src=""><br>beat
<img src=""><br>klasszikus,<img src=""><br>classic
<img src=""><br>komédia,<img src=""><br>comedy
<img src=""><br>dráma sorozat,<img src=""><br>drama series
<img src=""><br>teljes,<img src=""><br>entire
<img src=""><br>aranykor,<img src=""><br>golden age
<img src=""><br>megszállottság,<img src=""><br>obsession
<img src=""><br>minőség,<img src=""><br>quality
<img src=""><br>egyetlen,<img src=""><br>single
<img src=""><br>folyam,<img src=""><br>stream
<img src=""><br>meglepő,<img src=""><br>surprising
<img src=""><br>kukorica,<img src=""><br>corn
<img src=""><br>kemény,<img src=""><br>hard
<img src=""><br>vadászat,<img src=""><br>hunt
<img src=""><br>bennszülött,<img src=""><br>native
<img src=""><br>indián,<img src=""><br>Native American
<img src=""><br>pite,<img src=""><br>pie
<img src=""><br>tök,<img src=""><br>pumpkin
<img src=""><br>vallási,<img src=""><br>religious
<img src=""><br>telepes,<img src=""><br>settler
<img src=""><br>hajó,<img src=""><br>ship
<img src=""><br>Hálaadás,<img src=""><br>Thanksgiving
<img src=""><br>pulyka,<img src=""><br>turkey
<img src=""><br>művészeti forma,<img src=""><br>art form
<img src=""><br>elmosódott,<img src=""><br>blurred
<img src=""><br>meghatározni,<img src=""><br>define
<img src=""><br>festőállvány,<img src=""><br>easel
<img src=""><br>hatását,<img src=""><br>effelct
<img src=""><br>létezik,<img src=""><br>exist
<img src=""><br>származik,<img src=""><br>originate
<img src=""><br>önarckép,<img src=""><br>self-portrait
<img src=""><br>közösségi oldal,<img src=""><br>social networking site
<img src=""><br>jellemzően,<img src=""><br>typically
<img src=""><br>érték,<img src=""><br>value
<img src=""><br>képesség,<img src=""><br>ability
<img src=""><br>engedheti meg magának,<img src=""><br>afford
<img src=""><br>magasság,<img src=""><br>altitude
<img src=""><br>sportoló,<img src=""><br>athlete
<img src=""><br>mezítláb,<img src=""><br>barefoot
<img src=""><br>fejleszteni,<img src=""><br>develop
<img src=""><br>életmód,<img src=""><br>lifestyle
<img src=""><br>előző,<img src=""><br>previous
<img src=""><br>ok,<img src=""><br>reason
<img src=""><br>régióban,<img src=""><br>region
<img src=""><br>elmélet,<img src=""><br>theory
<img src=""><br>szórekord,<img src=""><br>word record
<img src=""><br>repüléstechnika,<img src=""><br>aeronautical engineering
<img src=""><br>parancsnok,<img src=""><br>commander
<img src=""><br>hadtest,<img src=""><br>corps
<img src=""><br>jogosítvány,<img src=""><br>driving license
<img src=""><br>bűvölet,<img src=""><br>fascination
<img src=""><br>repülési,<img src=""><br>flight
<img src=""><br>hős,<img src=""><br>hero
<img src=""><br>föld,<img src=""><br>land
<img src=""><br>ugrás,<img src=""><br>leap
<img src=""><br>emberiség,<img src=""><br>mankind
<img src=""><br>anyag,<img src=""><br>material
<img src=""><br>misszió,<img src=""><br>mission
<img src=""><br>pilóta jogosítvány,<img src=""><br>pilot license
<img src=""><br>szikla,<img src=""><br>rock
<img src=""><br>űrhajó,<img src=""><br>space craft
<img src=""><br>lépés,<img src=""><br>step
<img src=""><br>vonz,<img src=""><br>attract
<img src=""><br>főnök,<img src=""><br>boss
<img src=""><br>kombájn,<img src=""><br>combine
<img src=""><br>vállalkozó,<img src=""><br>enterpreteur
<img src=""><br>fo,<img src=""><br>fo
<img src=""><br>korom,<img src=""><br>grime
<img src=""><br>multimilliomos,<img src=""><br>multimillionaire
<img src=""><br>szenvedély,<img src=""><br>passion
<img src=""><br>előadni,<img src=""><br>perform
<img src=""><br>díj,<img src=""><br>prize
<img src=""><br>szolgáltatások,<img src=""><br>services
<img src=""><br>stratégia,<img src=""><br>strategy
<img src=""><br>feltölteni,<img src=""><br>upload
<img src=""><br>néző,<img src=""><br>viewer
<img src=""><br>ős,<img src=""><br>ancestor
<img src=""><br>bungee jumping,<img src=""><br>bungee jumping
<img src=""><br>éghajlat,<img src=""><br>climate
<img src=""><br>vakmerő,<img src=""><br>daredevil
<img src=""><br>sárkányrepülés,<img src=""><br>hang-gliding
<img src=""><br>lakos,<img src=""><br>inhabitant
<img src=""><br>sugárhajtású hajózás,<img src=""><br>jet-boating
<img src=""><br>maori,<img src=""><br>Maori
<img src=""><br>természet,<img src=""><br>nature
<img src=""><br>származás,<img src=""><br>origin
<img src=""><br>táj,<img src=""><br>scenery
<img src=""><br>ejtőernyőzés,<img src=""><br>skydiving
<img src=""><br>vulkán,<img src=""><br>volcano
<img src=""><br>vadvízi evezés,<img src=""><br>white-water rafting
<img src=""><br>fejlett,<img src=""><br>advanced
<img src=""><br>cikk,<img src=""><br>article
<img src=""><br>díszít,<img src=""><br>decorate
<img src=""><br>játékkonzol,<img src=""><br>games console
<img src=""><br>tréfa,<img src=""><br>joke
<img src=""><br>kölyök,<img src=""><br>kid
<img src=""><br>kötött,<img src=""><br>knit
<img src=""><br>sportos,<img src=""><br>sporty
<img src=""><br>trambulin,<img src=""><br>trampoline
<img src=""><br>lefordítani,<img src=""><br>translate
<img src=""><br>album,<img src=""><br>album
<img src=""><br>fogás,<img src=""><br>catch
<img src=""><br>operaház,<img src=""><br>opera house
<img src=""><br>hóember,<img src=""><br>snowman
<img src=""><br>kenu,<img src=""><br>canoe
<img src=""><br>fagyasztó,<img src=""><br>freezing
<img src=""><br>jégmászás,<img src=""><br>ice climbing
<img src=""><br>kajak,<img src=""><br>kayak
<img src=""><br>kajakozás,<img src=""><br>kayaking
<img src=""><br>látványos,<img src=""><br>spectacular
<img src=""><br>hullámtörés,<img src=""><br>surf
<img src=""><br>gyaloglás,<img src=""><br>walking
<img src=""><br>vízesés,<img src=""><br>waterfall
<img src=""><br>búvárruha,<img src=""><br>wetsuit
<img src=""><br>vonzerő,<img src=""><br>attraction
<img src=""><br>sikló,<img src=""><br>cable car
<img src=""><br>választás,<img src=""><br>choice
<img src=""><br>csepp,<img src=""><br>drop
<img src=""><br>él,<img src=""><br>edge
<img src=""><br>repül,<img src=""><br>fly
<img src=""><br>kihangosító,<img src=""><br>handfree
<img src=""><br>tiszta,<img src=""><br>pure
<img src=""><br>meredek,<img src=""><br>steep
<img src=""><br>terror,<img src=""><br>terror
<img src=""><br>zipline,<img src=""><br>zipline
<img src=""><br>elülső,<img src=""><br>front
<img src=""><br>leszid,<img src=""><br>tell off
<img src=""><br>felébred,<img src=""><br>wake up
<img src=""><br>ősi,<img src=""><br>ancient
<img src=""><br>vár,<img src=""><br>castle
<img src=""><br>magányos,<img src=""><br>loneley
<img src=""><br>titkos,<img src=""><br>secret
<img src=""><br>boldogtalan,<img src=""><br>unhappy
<img src=""><br>fiatal,<img src=""><br>young
<img src=""><br>okos,<img src=""><br>clever
<img src=""><br>táncos,<img src=""><br>dancer
<img src=""><br>tömeg,<img src=""><br>crowd
<img src=""><br>szórólap,<img src=""><br>leaflet
